x1,x2,x3,x4,x5,x6,f1_cost,f2_Ttotal_mean,SL10_day,f3_one_minus_SL10,is_baseline,has_unstable_period,unstable_slots,pareto_2obj,pareto_3obj
1,1,0,0,0,0,41000.0,17.497677564357975,0.46790540540509806,0.5320945945949019,False,True,"10:00-12:00, 16:00-18:00",True,True
1,1,0,0,0,1,49000.0,11.188828851938071,0.7210341400931339,0.27896585990686606,False,True,16:00-18:00,True,True
1,1,0,0,1,0,56000.0,17.51072976454218,0.46790540536183806,0.5320945946381619,False,True,"10:00-12:00, 16:00-18:00",False,False
1,1,0,0,1,1,64000.0,4.230579046420663,0.9997899865558584,0.00021001344414162126,False,False,,True,True
1,1,0,1,0,0,53000.0,17.36375949003365,0.46790540540530895,0.5320945945946911,False,True,"10:00-12:00, 16:00-18:00",False,False
1,1,0,1,0,1,61000.0,10.951532399235369,0.7211310153069302,0.27886898469306975,False,True,16:00-18:00,False,False
1,1,0,1,1,0,68000.0,17.376811690217856,0.467905405388493,0.532094594611507,False,True,"10:00-12:00, 16:00-18:00",False,False
1,1,0,1,1,1,76000.0,3.870090026150393,0.9998833017382367,0.00011669826176330389,False,False,,True,True
1,1,1,0,0,0,121000.0,3.8910405303582323,1.0,0.0,False,False,,False,False
1,1,1,0,0,1,129000.0,3.8889961758092886,1.0,0.0,False,False,,False,False
1,1,1,0,1,0,136000.0,3.8861641373513938,1.0,0.0,False,False,,False,False
1,1,1,0,1,1,144000.0,3.887072800443553,1.0,0.0,False,False,,False,False
1,1,1,1,0,0,133000.0,3.5305515100879625,1.0,0.0,False,False,,False,False
1,1,1,1,0,1,141000.0,3.5285071555390184,1.0,0.0,False,False,,False,False
1,1,1,1,1,0,148000.0,3.525675117081124,1.0,0.0,False,False,,False,False
1,1,1,1,1,1,156000.0,3.5265837801732833,1.0,0.0,False,False,,False,False
